"#experimentId"	"experimentName"	"experimentDescription"	"experimentSource"	"experimentStatus"	"projectTags"	"numberOfAnnotatedLibraries"	"protocol"	"protocolType"	"GSE"	"Bioproject"	"PMID"	"PMID_url"	"comment"
"DRP008259"	"Transcriptome of Japanese medaka adult tissues"	"In order to investigate the regulatory properties that contribute to the stability and evolutionary conservation of gene expression, we focused on pleiotropic expression. To determine the number of tissues in which each gene was expressed, we collected transcriptome data for tissues of adult medaka fish (O. latipes). We selected a total of 25 different tissues to cover as much of the body as possible. A total of four replicates were obtained for each tissue, two from males and two from females. Each data was derived from one individual, not pooled. We found a moderate tendency that genes expressed in many tissues are less likely to fluctuate in expression levels among individuals and more likely to be evolutionarily conserved in expression levels."	"DDBJ"	"total"		100	"TruSeq RNA Library Prep Kit"	"full_length"		"PRJDB12004"	"PMID: 35399082"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8996622/"	
"SRP023152"	"Monodelphis domestica Transcriptome or Gene expression"	"The goal of this study is to provide transcriptome-based resources for Monodelphis domestica."	"SRA"	"total"		27				"PRJNA200320"			"no PMID, no GEO"
"#SRP115905"	"Gene expression profile of postnatal lung development in the marsupial opossum (Monodelphis domestica)"	"RNA-seq of lung tissue at 7 time points of postnatal development Overall design: RNA-seq of lung tissue at 7 time points of postnatal development"	"SRA"	"total"		7			"GSE102871"	"PRJNA399138"	"PMID: 30290757"	"https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-018-5102-2"	"commented out due to duplicate annotation"
"SRP039502"	"Danio rerio strain:AB Transcriptome or Gene expression"	"Quantifying expression levels of smallRNAs between tissues in Danio Rerio strain AB."	"SRA"	"total"		16				"PRJNA240316"	"PMID: 24835514"	"https://linkinghub.elsevier.com/retrieve/pii/S0378-1119(14)00585-X"	
"SRP151190"	"miRNA repertoire of the Medaka (Oryzias latipes)"	"The aim of this study was to characterize the repertoire of miRNA in variety of tissues and organs in the medaka"	"SRA"	"partial"		24				"PRJNA477647"	"PMID: 30199527"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6147661/"	"removed SRX4287129, not wild type"
"#ERP116137"	"RNA-seq of healthy brain, liver and muscle in 5 mammals"	"RNA-seq of total RNA was produced to aid in re-annotation of genes in horse, mouse, opossum, macaque, rat and pig. The RNA-seq was isolated from brain, liver and/or muscle."	"ENA"	"total"		15				"PRJEB33353"			"commented out due to duplicate annotation"
"ERP111066"	"Using ribosome profiling and matched RNA sequencing to study the evolution of gene expression levels in mammalian organs across two major gene expression layers"	"Ribosome profiling (Ribo-seq) and matched RNA sequencing (RNA-seq) data for three major mammalian organs (brain (cerebrum), liver, and testis) from five representatives of the three main mammalian lineages: human, macaque, mouse (placental mammals); grey short-tailed opossum (marsupials); and platypus (egg-laying monotremes)."	"ENA"	"partial"		66				"PRJEB28810"	"PMID: 33177713"	"https://pubmed.ncbi.nlm.nih.gov/33177713/"	"removed the Ribo-seq libraries"
"SRP015370"	"Evolution of mammalian miRNA genes"	"MicroRNAs (miRNAs) are major post-transcriptional regulators of gene expression, yet their origins and functional evolution in mammals remain little understood due to the lack of appropriate comparative data. Using RNA sequencing, we have generated extensive and comparable miRNA data for five organs in six species that represent all main mammalian lineages and birds (the evolutionary outgroup), with the aim to unravel the evolution of mammalian miRNAs. Our analyses reveal an overall expansion of miRNA repertoires in mammals, with three-fold accelerated birth rates of miRNA families in placentals and marsupials, facilitated by the de novo emergence of miRNAs in host gene introns. Generally, our analyses suggest a high rate of miRNA family turnover in mammals, with many newly emerged miRNA families being lost soon after their formation. Selectively preserved mammalian miRNA families gradually evolved higher expression levels as well as altered mature sequences and target gene repertoires, and were apparently mainly recruited to exert regulatory functions in nervous tissues. However, miRNAs that originated on the X chromosome evolved high expression levels and potentially diverse functions during spermatogenesis, including meiosis, through selectively driven duplication-divergence processes. Overall, our study thus provides detailed insights into the birth and evolution of mammalian miRNA genes and the associated selective forces. Overall design: 30 main samples from five adult tissues (brain, cerebellum, heart, kidney and testis) collected in six species (human, macaque, mouse, opossum, platypus and chicken) + 5 biological replicates + 3 samples from spermatogenic cells in adult mouse testis (Sertoli cells, spermatocytes and spermatids)"	"SRA"	"total"		38			"GSE40499"	"PRJNA174234"	"PMID: 23034410"	"http://genome.cshlp.org/cgi/pmidlookup?view=long&pmid=23034410"	
"SRP063942"	"Lepisosteus oculatus Transcriptome or Gene expression"	"Quantifying expression levels of smallRNAs between tissues in wild-caught Lepisosteus oculatus"	"SRA"	"total"		8				"PRJNA296503"	"PMID: 26950095"	"https://pubmed.ncbi.nlm.nih.gov/26950095/"	
"SRP157992"	"Quantifying expression levels of smallRNAs between tissues in three-spined stickleback."	"Quantifying expression levels of smallRNAs between tissues in three-spined stickleback."	"SRA"	"total"		16				"PRJNA486149"	"PMID: 30850632"	"https://pubmed.ncbi.nlm.nih.gov/30850632/"	
"ERP119841"	"Gene expression of immune tissues and ovaries from a marine population of threespine sticklebacks from Denmark"	"The threespine stickleback (Gasterosteus aculeatus) has repeatedly colonized and adapted to diverse freshwater habitats since the last glaciation. To study gene expression across different populations, we sequenced transcriptomes from wild-caught sticklebacks from a marine environment to compare with data from freshwater populations published with the project accessions PRJEB8677 and PRJEB26492. Genomic data from these individuals can be found under the project accession ERP001339."	"ENA"	"total"		10	"TruSeq RNA Library Prep Kit"	"full_length"		"PRJEB36628"			"no PMID or url"
"SRP286264"	"Gasterosteus aculeatus Isoseq Transcriptome Reads"	"Long and short reads created for threespine stickleback tissues"	"SRA"	"partial"		8	"TruSeq Stranded mRNA"	"full_length"		"PRJNA633846"	"PMID: 34131005"	"https://pubmed.ncbi.nlm.nih.gov/34131005/"	"removed 8 libraries - PacBio SMRT library + PacBio Sequel 1"
"SRP039546"	"Re-annotation of Xenopus tropicalis genome with RNA-Seq and RNA-PET"	"Next generation functional genomics relies on high quality annotation of the genomic functional and structural components. We carried out extensive gene re-annotation by combining RNA-PET and RNA-Seq and produced improved annotations."	"SRA"	"partial"		4				"PRJNA240154"	"PMID: 26348928"	"https://pubmed.ncbi.nlm.nih.gov/26348928/"	"16 libraries removed b/c RNA-PET or AB SOLiD System 2.0"
"SRP035898"	"Notochord-specific transcriptome in Atlantic salmon using RNA-seq"	"This study reveal the dynamtic transcriptome of the notochord during early development prior to the formation of vertebra in Atlantic salmon. Expression patterns of essential structural and signalling genes, as well as pathways, provide clues to the segmentation of the notochord and mineralization of the notochord sheath."	"SRA"	"total"	"Atlantic salmon, NCBI"	9		"full_length"		"PRJNA236138"	"PMID: 24548379"	"https://bmcgenomics.biomedcentral.com/articles/10.1186/1471-2164-15-141#Sec2"	"paper refers to The Sequence Read Archive (SRA) at NCBI (Accession ID: SRA129427)"
"SRP238360"	"Analysis of the turkey reproductive tract transcriptome"	"The male reproductive tract tissue samples were obtained from six 38-wk-old turkeys. The gene expression pattern in turkey testis, epididymis and ductus deferens were determined by high-throughput transcriptome sequencing. The obtained sequence reads were mapped to the turkey genome, and relative expression values were calculated for the analysis of differential expressed genes. Bioinformatics analysis revealed several candidate genes potentially involved in spermatogenesis, spermiogenesis and flagella formation in testis and post-testicular sperm maturation in epididymis and ductus deferens. The achievement of spermatozoa motility during post-testicular maturation were found to be linked with development of flagellum actin filaments and biochemical processes including Ca2+ influx and protein phosphorylation/dephosphorylation. Finally, genes involved in reproductive system development and morphogenesis were identified. Overall design: The purpose of project was to profile testis, epididymis and ductus deferens transcriptome and identify the key genes and pathways associated with specificity of turkey reproductive tract. Novel candidate genes and pathways were identified as playing roles in spermatogenesis, spermiogenesis and flagella formation in testis and post-testicular sperm maturation in epididymis and ductus deferens."	"SRA"	"total"		18	"TruSeq Stranded mRNA"	"full_length"	"GSE142428"	"PRJNA597008"	"36709584, 35887003"	"https://linkinghub.elsevier.com/retrieve/pii/S0032-5791(23)00010-X, https://www.mdpi.com/resolver?pii=ijms23147642"	
