"#experimentId"	"experimentName"	"experimentDescription"	"experimentSource"	"experimentStatus"	"comment"	"tags"
"SRP135698"	"Representation and relative abundance of cell-type selective markers in whole-kidney RNA-Seq data"	"Purpose: We used RNA-seq to determine the mRNA species and cell types presented in the whole kidney tissue. Methods: We extracted RNA from the whole kidney tissue and microdissected proximal tubules. cDNA libraries were constructed for paired-end sequencing and sequenced on Illumina HiSeq3000 platform.Reads were mapped to mouse Ensembl Genome by STAR and transcript abundances were calculated in the units of transcripts per million (TPM) using RSEM (https://github.com/deweylab/RSEM). Results and conclusion: Based on a variety of data types we curated a list of 43 cell types that are thought to exist in the kidney. Our data indicated that, If mRNA levels parallel protein levels, the contribution of proximal tubules to total mRNA in the renal tubule is also likely to be in the vicinity of 66%. Overall design: cDNAs from whole kidney tissue and microdissected proximal tubules were generated and sequenced using Illumina HiSeq 3000."	"SRA"	"total"	"GSE111837, PRJNA438336"	
"ERP105028"	"RNA-seq of muscle from pigs divergent in feed efficiency and product quality"	"Feed efficiency (FE) is an indicator of efficiency in converting energy from feed into a tissue that is of major environmental and economic significance.This study was to profile the porcine Longissimus thoracis et lumborum (LTL) muscle transcriptome, examine the product quality from pigs divergent in FE and investigate the functional networks underpinning the potential relationship between product quality and FE."	"SRA"	"total"	"E-MTAB-6174, PRJEB23289"	
"SRP060608"	"Expression data from longissimus dorsi muscle of Shaziling pig at 25-days old and longissimus dorsi musle of Yorkshire pig at 25-days old"	"To characterize the mechanism of porcine skeletal muscle development, transcriptome analysis of longissimus dorsi muscle between Shaziling and Yorkshire pig breeds Overall design: Three male Shaziling pigs and three male Yorkshire pigs from two full-sibs families at 25-days old were slaughtered"	"SRA"	"total"	"GSE70673, PRJNA289358"	
"SRP116672"	"Fish-T1K (Transcriptomes of 1000 fishes)_Phylogeny Project Raw sequence reads"	"Fish-T1K (transcriptomes of 1000 fishes)"	"SRA"	"partial"	"PRJNA398732 (many fish genome not yet in Ensembl)"	"Fish-T1K"
"SRP104222"	"Cavia porcellus Transcriptome Sequencing"	"Illumina RNA-seq of the guinea pig using strand-specific libraries. Sequencing of inner organ samples in order to obtain a transcript catalog of Cavia porcellus."	"SRA"	"total"	"PRJNA383303"	
"SRP061363"	"Heterocephalus glaber Transcriptome or Gene expression"	"Illumina RNA-seq of the naked mole-rat using strand-specific libraries. Sequencing of diverse inner organ samples in order to obtain a transcript catalog of Heterocephalus glaber."	"SRA"	"total"	"PRJNA283581"	
"SRP106639"	"RNA-seq of ten guinea pig tissues from breeders and non-breeders"	"Comparison of gene expression level by Illumina sequencing of ten different guinea pig tissue from breeders and non-breeders. Overall design: 238 samples: 10 tissues (heart, skin, liver, kidney, cerebellum, hypothalamus, pituitary, thyroid, adrenal, gonad), 5-6 animals per group, 4 groups: 1) female non-breeder, 2) female breeder, 3) male non-breeder, 4) male breeder"	"SRA"	"total"	"GSE98653, PRJNA385822"	
"SRP106650"	"RNA-seq of naked mole-rat liver from breeders and non-breeders [livers]"	"Comparison of gene expression level by Illumina sequencing of naked mole-rat liver from breeders and non-breeders. Overall design: 23 liver samples, 5-6 animals per group, 4 groups: 1) female non-breeder, 2) female breeder, 3) male non-breeder, 4) male breeder"	"SRA"	"total"	"GSE98667, PRJNA385850"	
"SRP106647"	"RNA-seq of nine naked mole-rat tissues from breeders and non-breeders"	"Comparison of gene expression level by Illumina sequencing of nine different naked mole-rat tissue from breeders and non-breeders. Overall design: 215 samples: 9 tissues (heart, skin, kidney, cerebellum, hypothalamus, pituitary, thyroid, adrenal, gonad), 5-6 animals per group, 4 groups: 1) female non-breeder, 2) female breeder, 3) male non-breeder, 4) male breeder"	"SRA"	"total"	"GSE98663, PRJNA385839"	
"SRP106851"	"RNA-seq of naked mole-rat liver from young and old animals"	"Comparison of gene expression level by Illumina sequencing of naked mole-rat liver from young and old animals. We identified differentially expressed genes and provide functional profiles, which give insights into the aging process of long-lived rodents. Overall design: 9 liver samples; 2 groups: 1) 6 young animals, 2) 3 old animals"	"SRA"	"total"	"GSE98744, PRJNA386219"	
"SRP106852"	"RNA-seq of Wistar-rat liver from young and old animals"	"Comparison of gene expression level by Illumina sequencing of rat liver from young and old animals. We identified differentially expressed genes and provide functional profiles, which give insights into the aging process of short-lived rodents. Overall design: 9 liver samples, 4-5 animals per group, 2 groups: 1) young males, 2) old males"	"SRA"	"total"	"GSE98745, PRJNA386218"	
"SRP127374"	"Transcriptomics analysis of guinea pig heart, fetus to adult progression"	"We report the outcomes of next-generation sequencing (RNA-Seq) of guinea pig (Cavia porcellus) heart tissue and compare relative transcript abundances between fetus and adult. Overall design: mRNA profiles were generated for adult and foetal guinea pig hearts in four biological replicates using an Illumina HiSeq platform."	"SRA"	"total"	"GSE108420, PRJNA427224"	
"SRP068062"	"Transcriptome responses to selection for tame/aggressive behaviors in silver foxes (Vulpes vulpes)"	"Domestication leads to a spectrum of striking behavioral changes whose genetic basis remains largely unknown. Silver foxes have been selectively bred for tame and aggressive behaviors for over 50 years at the Institute for Cytology and Genetics in Novosibirsk, Russia. To further understand the genetic basis and molecular mechanisms underlying tame and aggressive behavioral phenotypes segregating in selected strains of the silver fox, we quantified genome-wide gene expression levels using RNA-seq in two selected brain tissues, right prefrontal cortex and basal forebrain, from 12 aggressive and 12 tame individuals. Expression analysis reveals 146 differentially expressed genes in prefrontal cortex between tame and aggressive individuals at a 5% FDR, and 33 hits were found in basal forebrain. These candidates include genes in key pathways known to be critical to neurological processing, such as serotonin and glutamate receptor pathways. The data relate in interesting ways to neurological and pharmacological effects that are actively being studied to understand human aggression. In addition, we identified 31,000 high quality exonic SNPs, 295 of which show significant allele frequency differences between tame and aggressive individuals at an adjust P-value < 0.05 level from gene dropping simulation based on the entire pedigrees. A non-synonymous change in a glutamate receptor, GRM3, is among these significant SNPs, indicating that expression and allele-frequency changes are hitting the same pathways. These changes in expression level and allele frequency might be the direct response to the artificial selection and will help understand the genetic basis of mammalian domestication process. Overall design: Profile of transcriptome-wide gene expression levels in 1.5-year old tame and aggressive fox brain"	"SRA"	"total"	"GSE76517, PRJNA307604"	
"SRP107226"	"RNA-seq of tame and aggressive fox pituitary"	"Gene expression study of tame and aggressive farmed fox pituitary."	"SRA"	"total"	"PRJNA387034"	
"SRP033127"	"Transcriptomic resource of African green monkey (Chlorocebus aethiops sabaues)"	"Characterization of transcriptomic variation is emerging as a critical tool for understanding how quantitative trait loci (QTL) contribute to complex phenotypes. Human transcriptomic studies are limited by factors such as the feasibility of invasive tissue collection or variable environmental exposures that can be readily overcome in non-human primate (NHP) models. We characterized transcriptomic variation across multiple tissues and developmental stages and between individuals in 59 vervet monkeys from the Vervet Research Colony extended pedigree. We conducted RNA sequencing across early (7, 90 days, and one year) and later (1.25, 1.5, 1.75, 2, 2.5, 3, and 4+ years old) developmental time points in 6 individuals at each stage in five tissue types: two brain tissues from hippocampus and caudate, two endocrine tissues (pituitary and adrenal) and two peripheral tissues serving as a source of biomarkers (blood and fibroblasts)"	"SRA"	"total"	"PRJNA219198"	
"SRP163252"	"Atlas of RNA sequencing profiles of normal human tissues"	"Overall design: A total of 148 solid tissue samples representing 20 organs were taken from post-mortal human healthy donors killed in road accidents no later than 36 hours after death. Prior to RNA extraction solid normal tissue samples were stored either in RNAlater or as Formalin-Fixed Paraffin-Embedded (FFPE) blocks. Blood and bone marrow samples were taken from 6 and 11 healthy volunteers respectively and subjected immediately to RNA extraction. Following ribosomal RNA depletion and RNA libraries construction transcription profiles of the samples were obtained using Illumina HiSeq 3000."	"SRA"	"total"	"PRJNA494560"	
"SRP129900"	"Scophthalmus maximus Raw sequence reads"	"Transcriptomic profiling revealed the signatures of crowding stress on the immune response in juvenile turbot"	"SRA"	"total"	"PRJNA430115"	
"SRP188583"	"Different expression of genes on gills from turbot scophthalmus maximus that fed with different contents of myo-inositol"	"In this study, whole genome transcription profiling of turbot as it fed with different contents myo-inositol was performed to decipher the mechanisms by which myo-inositol modulates physiological functions"	"SRA"	"partial"	"PRJNA527368"	
